City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
carutapera,92,BR,1554165541,99,-1.2,-46.02,76.27,4.7
punta arenas,90,CL,1554165147,93,-53.16,-70.91,50.0,11.41
ler,0,NO,1554165544,80,63.2,10.3,35.6,11.41
karratha,0,AU,1554165486,74,-20.74,116.85,81.31,6.15
hasaki,20,JP,1554165450,48,35.73,140.83,48.0,12.75
ribeira grande,36,PT,1554165560,100,38.52,-28.7,59.53,24.38
barabai,92,ID,1554165467,96,-2.59,115.38,75.1,2.68
miyako,20,JP,1554165513,71,33.63,130.94,55.0,5.82
vila do maio,0,CV,1554163200,68,15.13,-23.22,69.8,14.99
zapolyarnyy,68,RU,1554162600,79,69.43,30.82,24.8,26.4
airai,12,TL,1554165439,81,-8.93,125.41,75.1,1.68
byron bay,75,AU,1554165459,88,-28.65,153.62,75.2,9.4
esperance,20,TT,1554165307,74,10.24,-61.45,78.8,5.82
albany,1,US,1554165365,34,42.65,-73.75,35.6,10.29
kodiak,1,US,1554165424,13,39.95,-94.76,54.0,10.29
boa vista,0,BR,1554163200,38,2.82,-60.67,91.4,14.99
cidreira,0,BR,1554165226,81,-30.17,-50.22,73.57,12.64
kapaa,90,US,1554165209,73,22.08,-159.32,78.8,11.41
cape town,0,ZA,1554165378,62,-33.93,18.42,60.01,16.11
maniitsoq,68,GL,1554165563,81,65.42,-52.9,17.5,9.73
vestmannaeyjar,0,IS,1554165271,100,63.44,-20.27,31.72,18.79
thompson,90,CA,1554164340,86,55.74,-97.86,30.2,8.05
georgetown,20,GY,1554163200,78,6.8,-58.16,80.6,9.17
hithadhoo,68,MV,1554165135,100,-0.6,73.08,82.3,7.72
paso de los toros,48,UY,1554165319,68,-32.81,-56.52,74.38,8.95
dikson,88,RU,1554165430,100,73.51,80.55,26.5,26.28
mirnyy,0,RU,1554165564,86,56.57,36.46,23.53,7.38
hobart,75,AU,1554165375,54,-42.88,147.33,62.01,10.29
saint-pierre,0,FR,1554164737,66,48.95,4.24,50.0,10.29
ushuaia,75,AR,1554163200,76,-54.81,-68.31,53.6,13.87
tutoia,56,BR,1554165564,96,-2.76,-42.27,77.26,3.36
victoria,75,BN,1554163200,94,5.28,115.24,78.8,2.24
nichinan,20,JP,1554163347,100,31.65,131.31,55.4,12.75
tuktoyaktuk,75,CA,1554163200,84,69.44,-133.03,8.6,9.17
develi,75,TR,1554164400,81,38.39,35.49,45.0,3.24
beringovskiy,88,RU,1554165266,99,63.05,179.32,31.99,9.4
paamiut,92,GL,1554165433,89,61.99,-49.67,34.06,46.3
butaritari,80,KI,1554165160,100,3.07,172.79,83.29,10.96
manokwari,24,ID,1554165565,98,-0.87,134.08,82.12,11.74
busselton,0,AU,1554165387,56,-33.64,115.35,66.99,6.82
aswan,0,EG,1554159600,23,24.09,32.9,62.6,4.7
te anau,80,NZ,1554165566,82,-45.41,167.72,46.57,3.47
itoman,20,JP,1554165146,45,26.12,127.67,64.4,12.75
vardo,1,US,1554165244,28,39.62,-77.74,43.0,3.36
gbarnga,8,LR,1554165566,87,7.0,-9.47,76.99,7.72
qaanaaq,0,GL,1554165124,74,77.48,-69.36,-3.56,7.49
port elizabeth,1,US,1554165411,51,39.31,-74.98,43.0,5.59
san lorenzo,0,HN,1554165568,62,13.43,-87.45,86.62,11.97
casper,90,US,1554165322,69,42.87,-106.31,39.99,6.93
naze,64,NG,1554165247,92,5.43,7.07,77.53,9.73
cockburn town,0,TC,1554165569,100,21.46,-71.14,77.8,13.76
kamiiso,40,JP,1554163200,65,41.82,140.65,32.0,2.24
cherskiy,48,RU,1554165226,76,68.75,161.3,27.67,6.15
hilo,90,US,1554165331,65,19.71,-155.08,78.8,8.05
waitara,0,NZ,1554165132,40,-39.0,174.24,70.0,8.01
olyka,0,UA,1554163837,60,50.73,25.81,30.99,4.36
clyde river,90,CA,1554163800,77,70.47,-68.59,-2.21,13.87
visnes,92,NO,1554165422,74,59.36,5.22,39.99,18.34
pangnirtung,8,CA,1554165440,70,66.15,-65.72,-2.39,3.91
teguldet,48,RU,1554165570,89,57.31,88.17,28.12,7.16
hermanus,0,ZA,1554165121,88,-34.42,19.24,60.01,5.26
jamestown,0,AU,1554165431,69,-33.21,138.6,61.69,5.59
